"sku","storeid","cost","retail","sksinfo.zero"
2738717,9603,18.21,24.5,0
2400629,8004,6.9,19.0,0
2997351,1904,18.21,19.5,0
920173,4807,17.5,45.0,0
6802038,2603,7.95,20.0,0
2678626,3302,6.0,7.49,0
6438437,8802,29.0,59.0,0
5598305,4203,10.75,14.99,0
3493375,2203,24.25,24.25,0
8351174,3807,12.75,29.0,0
8321122,5604,14.4,29.0,0
1888832,1502,16.0,19.5,0
8588501,4209,15.5,49.0,0
4736151,6904,17.0,9.75,0
4681090,8102,10.0,39.0,0
5827102,6703,0.0,0.0,0
848430,8007,42.63,25.0,0
2517842,5904,15.75,14.99,0
8501708,604,44.75,89.5,0
8367299,502,8.41,11.0,0
5701656,7907,11.9,38.0,0
7707026,1302,17.85,27.5,0
2153853,4707,17.5,29.99,0
178421,4307,17.5,17.5,0
9289802,5304,9.0,20.0,0
4106420,4003,15.0,19.0,0
4980093,4107,16.0,44.0,0
8009859,4707,5.21,15.0,0
8438413,4702,14.0,8.75,1
8190918,509,10.0,39.5,0
1296718,6404,9.63,7.0,0
898438,3704,27.5,59.0,1
9599373,3207,21.0,44.0,0
4650003,9604,24.0,84.0,0
9227761,6302,8.51,4.63,0
9839311,5602,22.0,12.25,1
397566,3109,21.85,45.0,0
4008764,8204,20.0,16.25,1
8669579,2202,38.0,89.0,1
1318801,3103,15.75,8.5,0
8831085,104,155.0,395.0,0
9359201,8402,23.0,29.5,0
3061580,3902,15.4,35.0,0
5651378,5403,10.22,32.0,0
6968968,4702,2.35,3.0,0
8184210,5404,12.5,12.5,0
9121911,6604,23.5,49.0,0
3698147,8707,28.06,17.25,0
3999353,4802,40.88,57.0,0
548459,7002,26.5,39.99,1
1896037,802,14.0,9.75,0
9487618,7507,49.75,49.75,0
5264793,1307,52.72,99.0,0
3721384,3507,23.75,59.0,0
1258239,1709,10.79,15.0,0
4347616,1609,26.0,29.0,0
2794396,4303,14.38,10.0,0
5323041,5103,9.0,20.0,0
7680350,1007,38.0,95.0,0
7027329,8702,6.0,16.0,0
178702,4307,18.21,49.0,0
3289864,3504,11.27,34.0,0
158240,4103,74.5,49.99,0
8098448,6002,5.5,3.5,0
7416084,8002,7.86,9.25,0
2624855,8209,8.1,13.5,0
6678012,5802,34.2,58.0,0
606282,3607,9.1,11.0,0
2934531,7107,14.0,14.99,0
1239476,6209,22.5,49.0,1
4810219,3209,11.5,32.0,0
1139752,7702,35.5,19.75,1
2307789,6902,21.84,37.5,0
9520461,4604,16.5,59.5,0
5749518,1802,34.8,61.25,0
5609246,8102,39.75,79.5,0
7544309,6002,13.25,7.12,0
498229,2407,8.2,20.0,0
3990739,2804,12.77,38.0,0
2968410,7704,12.5,5.99,0
8087347,4107,14.34,26.13,0
5092116,403,13.0,4.99,0
9978169,6102,13.75,7.25,0
7201548,9103,11.25,17.0,0
5999127,9303,80.5,80.5,0
5769578,6102,23.1,36.85,0
3497634,2203,21.0,25.0,0
7119474,5904,10.0,26.0,0
800021,907,15.75,44.0,0
4201149,9303,5.0,10.0,0
2388109,8602,65.0,39.75,0
1491623,3802,30.5,65.0,0
6197382,1502,8.1,13.5,0
3790017,2407,31.57,79.0,0
3999359,7107,15.0,25.0,0
4809165,3002,32.4,74.0,0
2896852,7407,9.0,20.0,0
9118244,902,15.0,7.5,1
7538406,7407,13.5,9.5,0
6149672,8803,8.5,22.0,0
2027841,8603,9.6,19.99,0
7568098,6402,108.0,64.75,0
5277416,8403,12.3,14.99,0
7588508,2504,14.34,19.5,0
6469785,2109,50.0,120.0,0
8729802,4204,8.62,24.0,0
9787437,5603,27.5,17.25,1
1630656,3307,10.0,6.5,0
6229868,1407,12.0,29.0,0
3831428,609,1.25,5.0,0
5460254,4409,8.75,20.0,0
7148283,1104,7.0,14.99,0
4296516,6009,42.25,22.12,0
6793662,7102,14.0,32.0,0
8969255,3709,9.9,16.5,0
9150824,6904,18.21,49.0,0
2744833,9309,31.0,69.0,0
6768190,8603,13.5,9.99,0
8309653,8709,35.5,19.75,1
9000356,8209,14.0,9.99,0
6018448,9202,14.2,14.75,0
9527387,4003,14.0,19.75,0
447419,5503,14.25,14.99,0
1651619,1509,149.76,405.0,0
2673636,5903,10.25,5.0,0
7871700,4804,39.75,79.5,0
1608015,8703,1.45,4.0,0
8589598,604,12.0,32.99,0
9789091,802,3.5,5.0,0
6504101,5002,1.68,5.0,0
1578878,7804,21.5,19.99,0
5141713,1202,32.5,65.0,0
2948487,404,33.75,31.28,0
7651394,1509,8.5,18.0,0
3897593,9609,26.75,29.75,0
1696291,2103,2.1,1.5,0
2506971,1904,12.18,23.25,0
9936627,9909,14.0,18.0,0
4153732,1107,8.98,22.0,0
4629139,8209,558.0,1242.0,1
1809576,2702,16.28,44.0,0
5037856,9806,10.8,9.0,0
9231705,7202,27.5,55.0,0
5330077,3502,29.5,69.0,1
8416016,4804,8.75,11.0,0
5076890,7804,7.5,18.0,0
6187401,5404,20.15,13.5,0
6067352,7902,1.1,4.0,0
3896847,6104,1.9,3.75,0
6340667,4802,31.5,79.0,0
579216,1909,30.38,70.0,0
9214328,4302,62.0,65.0,0
2290003,2207,131.24,278.0,0
